index,original_label,new_label,reason
275,2,39,border
7,2,39,border
381,2,39,border
106,2,39,border
372,2,39,border
370,2,39,border
732,39,2,border
305,39,2,border
775,39,2,border
62,39,2,border
617,2,39,border
98,2,39,border
540,2,39,border
38,39,2,border
392,2,39,border
394,2,39,border
179,2,39,border
387,39,2,border
391,39,2,border
134,2,39,border
369,2,39,border
12,2,39,border
602,2,39,border
411,2,39,border
379,2,39,border
783,2,39,border
784,2,39,border
472,39,2,border
731,2,39,border
750,2,39,border
186,2,39,border
749,2,39,border
703,39,2,border
747,2,39,border
104,2,39,border
650,2,39,border
97,39,2,border
103,2,39,border
367,2,39,border
329,2,39,border
578,39,2,border
279,39,2,border
734,39,2,border
183,39,2,border
361,2,39,border
397,2,39,border
446,39,2,border
393,2,39,border
427,39,2,border
95,2,39,border
83,2,39,border
113,2,39,border
597,2,39,border
4,2,39,border
206,39,2,border
616,2,39,border
309,39,2,border
46,39,2,border
753,2,39,border
2,2,39,border
751,2,39,border
791,2,39,border
159,2,39,border
748,2,39,border
158,39,2,border
514,2,39,border
90,2,39,border
112,2,39,border
709,39,2,border
574,39,2,border
96,2,39,border
471,39,2,border
680,2,39,border
738,39,2,border
366,2,39,border
390,39,2,border
107,2,39,border
82,39,2,border
693,2,39,border
758,2,39,border
