index,original_label,new_label,reason
697,39,2,cluster_seed_697
698,39,2,cluster_seed_697
700,39,2,cluster_seed_697
702,39,2,cluster_seed_697
245,39,2,cluster_seed_697
668,39,2,cluster_seed_668
669,39,2,cluster_seed_668
465,39,2,cluster_seed_668
735,39,2,cluster_seed_668
680,2,39,cluster_seed_668
63,39,2,cluster_seed_63
29,39,2,cluster_seed_63
573,39,2,cluster_seed_63
28,39,2,cluster_seed_63
772,39,2,cluster_seed_63
30,39,2,cluster_seed_534
768,2,39,cluster_seed_534
769,2,39,cluster_seed_534
770,2,39,cluster_seed_534
776,39,2,cluster_seed_534
66,2,39,cluster_seed_66
190,2,39,cluster_seed_66
593,2,39,cluster_seed_66
333,2,39,cluster_seed_66
556,2,39,cluster_seed_66
622,39,2,cluster_seed_622
624,39,2,cluster_seed_622
623,39,2,cluster_seed_622
629,39,2,cluster_seed_622
626,39,2,cluster_seed_622
490,2,39,cluster_seed_490
495,2,39,cluster_seed_490
642,2,39,cluster_seed_490
463,2,39,cluster_seed_490
557,39,2,cluster_seed_557
558,39,2,cluster_seed_557
303,39,2,cluster_seed_557
239,39,2,cluster_seed_557
514,2,39,cluster_seed_557
456,2,39,cluster_seed_456
457,2,39,cluster_seed_456
436,2,39,cluster_seed_456
430,2,39,cluster_seed_456
435,2,39,cluster_seed_456
286,2,39,cluster_seed_286
285,2,39,cluster_seed_286
284,2,39,cluster_seed_286
283,2,39,cluster_seed_286
464,2,39,cluster_seed_286
636,2,39,cluster_seed_636
602,2,39,cluster_seed_636
233,39,2,cluster_seed_636
386,39,2,cluster_seed_636
536,2,39,cluster_seed_636
67,39,2,cluster_seed_67
182,39,2,cluster_seed_67
22,39,2,cluster_seed_67
23,39,2,cluster_seed_67
20,39,2,cluster_seed_67
327,2,39,cluster_seed_327
328,2,39,cluster_seed_327
326,2,39,cluster_seed_327
332,2,39,cluster_seed_327
244,39,2,cluster_seed_244
243,39,2,cluster_seed_244
241,39,2,cluster_seed_244
91,2,39,cluster_seed_244
305,39,2,cluster_seed_244
611,2,39,cluster_seed_611
5,2,39,cluster_seed_611
148,2,39,cluster_seed_611
230,39,2,cluster_seed_611
777,39,2,cluster_seed_611
527,2,39,cluster_seed_527
530,2,39,cluster_seed_527
525,2,39,cluster_seed_527
548,2,39,cluster_seed_527
42,2,39,cluster_seed_527
659,39,2,cluster_seed_659
658,39,2,cluster_seed_659
