index,original_label,new_label,reason
697,39,2,random
668,39,2,random
63,39,2,random
534,2,39,random
66,2,39,random
622,39,2,random
346,2,39,random
490,2,39,random
557,39,2,random
456,2,39,random
65,2,39,random
286,2,39,random
636,2,39,random
67,39,2,random
327,2,39,random
395,2,39,random
244,39,2,random
377,2,39,random
611,2,39,random
527,2,39,random
659,39,2,random
530,2,39,random
623,39,2,random
722,2,39,random
360,2,39,random
30,39,2,random
260,2,39,random
638,2,39,random
601,2,39,random
571,2,39,random
215,2,39,random
78,2,39,random
579,39,2,random
383,39,2,random
39,2,39,random
23,39,2,random
675,2,39,random
398,2,39,random
797,2,39,random
605,39,2,random
139,39,2,random
250,2,39,random
174,39,2,random
323,2,39,random
596,2,39,random
526,2,39,random
423,39,2,random
597,2,39,random
757,2,39,random
535,2,39,random
265,2,39,random
109,39,2,random
667,39,2,random
294,2,39,random
336,2,39,random
368,2,39,random
446,39,2,random
333,2,39,random
198,39,2,random
168,2,39,random
481,2,39,random
724,2,39,random
656,39,2,random
306,2,39,random
231,39,2,random
422,39,2,random
49,2,39,random
788,2,39,random
357,2,39,random
86,39,2,random
677,2,39,random
192,2,39,random
796,2,39,random
33,2,39,random
31,2,39,random
199,39,2,random
365,2,39,random
486,2,39,random
595,39,2,random
569,2,39,random
