index,original_label,new_label,reason
3226,0,7,boundary_cluster_seed_3226
3227,7,2,boundary_cluster_seed_3226
4400,7,2,boundary_cluster_seed_3226
4401,2,26,boundary_cluster_seed_3226
7902,7,64,boundary_cluster_seed_3226
4644,66,63,boundary_cluster_seed_4644
4628,63,41,boundary_cluster_seed_4644
4629,64,66,boundary_cluster_seed_4644
4641,41,63,boundary_cluster_seed_4644
7859,47,49,boundary_cluster_seed_4644
3163,0,17,boundary_cluster_seed_3163
3166,17,0,boundary_cluster_seed_3163
3161,17,0,boundary_cluster_seed_3163
3162,0,17,boundary_cluster_seed_3163
3164,0,17,boundary_cluster_seed_3163
7606,0,53,boundary_cluster_seed_7606
7607,53,42,boundary_cluster_seed_7606
5469,43,53,boundary_cluster_seed_7606
7608,0,55,boundary_cluster_seed_7606
6722,42,43,boundary_cluster_seed_7606
5845,35,2,boundary_cluster_seed_5845
6441,2,35,boundary_cluster_seed_5845
4279,0,2,boundary_cluster_seed_5845
6436,2,35,boundary_cluster_seed_5845
8190,0,13,boundary_cluster_seed_5845
2916,38,0,boundary_cluster_seed_2916
2914,0,32,boundary_cluster_seed_2916
4169,0,26,boundary_cluster_seed_2916
4173,56,0,boundary_cluster_seed_2916
6666,56,0,boundary_cluster_seed_2916
8447,29,0,boundary_cluster_seed_8447
2891,0,2,boundary_cluster_seed_8447
4473,0,26,boundary_cluster_seed_8447
4460,0,32,boundary_cluster_seed_8447
8444,0,29,boundary_cluster_seed_8447
1791,0,56,boundary_cluster_seed_1791
5751,56,55,boundary_cluster_seed_1791
5790,55,41,boundary_cluster_seed_1791
5309,0,60,boundary_cluster_seed_1791
6329,0,55,boundary_cluster_seed_1791
383,39,56,boundary_cluster_seed_383
385,56,40,boundary_cluster_seed_383
411,0,40,boundary_cluster_seed_383
2902,0,40,boundary_cluster_seed_383
1604,2,56,boundary_cluster_seed_383
5738,0,17,boundary_cluster_seed_5738
5743,17,0,boundary_cluster_seed_5738
5737,17,0,boundary_cluster_seed_5738
2823,0,17,boundary_cluster_seed_5738
9589,0,13,boundary_cluster_seed_5738
