index,original_label,new_label,reason
6252,0,3,cluster_seed_6252
6244,3,0,cluster_seed_6252
6274,0,3,cluster_seed_6252
6273,0,3,cluster_seed_6252
6279,0,3,cluster_seed_6252
1158,61,56,cluster_seed_4684
1183,56,41,cluster_seed_4684
4739,41,56,cluster_seed_4684
5496,56,41,cluster_seed_4684
8774,7,56,cluster_seed_4684
1731,0,36,cluster_seed_1731
1730,0,36,cluster_seed_1731
1720,0,36,cluster_seed_1731
1725,0,36,cluster_seed_1731
1729,0,36,cluster_seed_1731
4742,39,75,cluster_seed_4742
4741,75,0,cluster_seed_4742
7597,0,56,cluster_seed_4742
4743,39,41,cluster_seed_4742
1275,2,67,cluster_seed_4742
4521,17,0,cluster_seed_4521
4530,0,17,cluster_seed_4521
4522,17,0,cluster_seed_4521
4525,0,17,cluster_seed_4521
4528,17,25,cluster_seed_4521
6340,56,60,cluster_seed_6340
6341,56,60,cluster_seed_6340
6342,56,60,cluster_seed_6340
6345,60,56,cluster_seed_6340
6347,60,56,cluster_seed_6340
576,24,0,cluster_seed_576
568,0,56,cluster_seed_576
566,27,0,cluster_seed_576
573,0,56,cluster_seed_576
574,0,56,cluster_seed_576
6363,73,30,cluster_seed_6363
8843,30,0,cluster_seed_6363
6904,0,30,cluster_seed_6363
6902,0,30,cluster_seed_6363
8148,8,60,cluster_seed_6363
439,25,0,cluster_seed_439
452,25,0,cluster_seed_439
437,25,0,cluster_seed_439
438,25,0,cluster_seed_439
459,0,56,cluster_seed_439
2750,16,30,cluster_seed_2750
2749,16,30,cluster_seed_2750
2752,16,30,cluster_seed_2750
2751,16,30,cluster_seed_2750
8924,30,0,cluster_seed_2750
7487,73,0,cluster_seed_7487
7497,73,0,cluster_seed_7487
1628,0,41,cluster_seed_7487
7488,73,0,cluster_seed_7487
7492,73,0,cluster_seed_7487
5272,0,7,cluster_seed_5272
5266,0,7,cluster_seed_5272
5270,0,7,cluster_seed_5272
5274,0,7,cluster_seed_5272
5271,0,7,cluster_seed_5272
5653,0,35,cluster_seed_5653
7243,0,35,cluster_seed_5653
5650,0,35,cluster_seed_5653
6872,0,34,cluster_seed_5653
511,35,0,cluster_seed_5653
3999,53,69,cluster_seed_3999
4000,53,69,cluster_seed_3999
596,53,69,cluster_seed_3999
4001,53,69,cluster_seed_3999
4003,53,69,cluster_seed_3999
6033,11,2,cluster_seed_6033
8264,11,2,cluster_seed_6033
6192,11,2,cluster_seed_6033
8913,11,2,cluster_seed_6033
4283,11,2,cluster_seed_6033
582,67,0,cluster_seed_582
590,0,38,cluster_seed_582
591,0,38,cluster_seed_582
583,0,38,cluster_seed_582
589,0,38,cluster_seed_582
9930,61,71,cluster_seed_9930
8982,71,61,cluster_seed_9930
7566,61,71,cluster_seed_9930
1774,61,71,cluster_seed_9930
2936,61,71,cluster_seed_9930
7051,1,67,cluster_seed_7051
7042,1,67,cluster_seed_7051
7048,1,67,cluster_seed_7051
7047,1,0,cluster_seed_7051
1502,67,2,cluster_seed_7051
9896,58,75,cluster_seed_9896
9902,75,15,cluster_seed_9896
877,77,59,cluster_seed_9896
9905,41,15,cluster_seed_9896
883,77,59,cluster_seed_9896
2249,69,61,cluster_seed_2249
1569,61,71,cluster_seed_2249
3145,71,39,cluster_seed_2249
3597,61,71,cluster_seed_2249
3175,39,45,cluster_seed_2249
4640,1,63,cluster_seed_4640
4639,1,63,cluster_seed_4640
4643,63,66,cluster_seed_4640
4631,66,63,cluster_seed_4640
5295,63,66,cluster_seed_4640
9485,34,73,cluster_seed_9485
7417,73,60,cluster_seed_9485
8410,60,56,cluster_seed_9485
8409,56,0,cluster_seed_9485
1863,0,56,cluster_seed_9485
4947,0,32,cluster_seed_4947
4944,0,32,cluster_seed_4947
799,0,32,cluster_seed_4947
9480,0,2,cluster_seed_4947
5659,0,2,cluster_seed_4947
9920,27,0,cluster_seed_9920
572,0,28,cluster_seed_9920
7401,0,28,cluster_seed_9920
1660,27,41,cluster_seed_9920
9126,28,52,cluster_seed_9920
1963,0,3,cluster_seed_1963
1962,0,3,cluster_seed_1963
1958,0,3,cluster_seed_1963
1971,0,3,cluster_seed_1963
1970,0,3,cluster_seed_1963
8243,24,2,cluster_seed_8243
8210,2,9,cluster_seed_8243
8256,9,2,cluster_seed_8243
8232,2,9,cluster_seed_8243
8240,2,9,cluster_seed_8243
6590,25,0,cluster_seed_6590
6571,0,24,cluster_seed_6590
6575,0,24,cluster_seed_6590
6572,0,24,cluster_seed_6590
6589,0,24,cluster_seed_6590
8847,0,13,cluster_seed_8847
5671,0,56,cluster_seed_8847
3636,13,0,cluster_seed_8847
9007,58,0,cluster_seed_8847
9026,58,0,cluster_seed_8847
321,0,65,cluster_seed_321
323,0,57,cluster_seed_321
326,65,0,cluster_seed_321
322,0,57,cluster_seed_321
5166,57,59,cluster_seed_321
4625,63,62,cluster_seed_4625
