index,original_label,new_label,reason
6252,0,3,nn_diff
4684,0,61,nn_diff
1731,0,36,nn_diff
4742,39,75,nn_diff
4521,17,0,nn_diff
6340,56,60,nn_diff
576,24,0,nn_diff
5202,0,61,nn_diff
6363,73,30,nn_diff
439,25,0,nn_diff
2750,16,30,nn_diff
7487,73,0,nn_diff
5272,0,7,nn_diff
5653,0,35,nn_diff
3999,53,69,nn_diff
6033,11,2,nn_diff
582,67,0,nn_diff
9930,61,71,nn_diff
7051,1,67,nn_diff
8158,0,61,nn_diff
9896,58,75,nn_diff
2249,69,61,nn_diff
4640,1,63,nn_diff
9485,34,73,nn_diff
4947,0,32,nn_diff
9920,27,0,nn_diff
1963,0,3,nn_diff
8243,24,2,nn_diff
6590,25,0,nn_diff
8847,0,13,nn_diff
321,0,65,nn_diff
2678,25,61,nn_diff
4625,63,62,nn_diff
4949,0,61,nn_diff
8328,0,61,nn_diff
3337,73,57,nn_diff
5589,24,0,nn_diff
251,45,39,nn_diff
3973,73,69,nn_diff
6630,0,52,nn_diff
5547,18,61,nn_diff
35,2,61,nn_diff
8362,24,0,nn_diff
1513,0,61,nn_diff
9317,0,5,nn_diff
39,2,60,nn_diff
4819,73,69,nn_diff
3465,0,32,nn_diff
1760,0,26,nn_diff
2304,56,32,nn_diff
3723,73,0,nn_diff
8284,62,43,nn_diff
4993,55,42,nn_diff
8127,0,24,nn_diff
3032,0,77,nn_diff
7938,60,56,nn_diff
3039,0,77,nn_diff
9655,27,14,nn_diff
2545,0,61,nn_diff
2592,0,32,nn_diff
1188,56,61,nn_diff
7966,26,0,nn_diff
6077,27,0,nn_diff
107,0,41,nn_diff
1315,74,56,nn_diff
8187,0,35,nn_diff
2753,16,30,nn_diff
9753,53,56,nn_diff
6231,0,30,nn_diff
2876,0,65,nn_diff
5323,9,2,nn_diff
799,0,32,nn_diff
3570,74,9,nn_diff
2894,0,39,nn_diff
2927,1,0,nn_diff
8178,0,61,nn_diff
971,49,47,nn_diff
6687,0,56,nn_diff
8575,0,2,nn_diff
2020,18,7,nn_diff
9054,16,0,nn_diff
952,48,60,nn_diff
5359,0,17,nn_diff
3857,2,7,nn_diff
5861,24,65,nn_diff
3145,71,39,nn_diff
3305,2,7,nn_diff
3006,56,34,nn_diff
9001,74,41,nn_diff
7770,0,61,nn_diff
7438,0,34,nn_diff
7942,56,58,nn_diff
9238,0,13,nn_diff
1056,47,48,nn_diff
3154,14,33,nn_diff
3787,0,5,nn_diff
9189,0,31,nn_diff
7825,0,37,nn_diff
7539,0,3,nn_diff
7231,0,43,nn_diff
764,2,4,nn_diff
5019,25,2,nn_diff
4903,2,61,nn_diff
8093,66,61,nn_diff
6843,39,60,nn_diff
2165,74,75,nn_diff
1862,0,38,nn_diff
7850,0,40,nn_diff
9123,73,66,nn_diff
2340,0,17,nn_diff
5527,0,2,nn_diff
6743,13,0,nn_diff
4003,53,69,nn_diff
1123,2,0,nn_diff
8709,0,6,nn_diff
4049,44,0,nn_diff
7640,5,0,nn_diff
765,5,18,nn_diff
2344,37,0,nn_diff
4071,0,8,nn_diff
7216,73,75,nn_diff
4216,42,45,nn_diff
7952,0,33,nn_diff
5970,0,17,nn_diff
3350,0,26,nn_diff
4695,60,2,nn_diff
3399,13,16,nn_diff
4081,0,27,nn_diff
9149,38,0,nn_diff
1224,0,56,nn_diff
6292,54,61,nn_diff
3122,32,8,nn_diff
510,35,61,nn_diff
5794,52,73,nn_diff
8181,13,38,nn_diff
9417,24,29,nn_diff
96,0,61,nn_diff
6681,2,7,nn_diff
1512,0,26,nn_diff
8791,23,22,nn_diff
119,41,60,nn_diff
7791,0,35,nn_diff
6517,0,29,nn_diff
33,74,9,nn_diff
7887,37,29,nn_diff
6830,0,62,nn_diff
5421,48,61,nn_diff
1068,49,41,nn_diff
1347,4,2,nn_diff
4747,29,70,nn_diff
6005,13,61,nn_diff
6039,33,14,nn_diff
3817,0,1,nn_diff
8446,0,29,nn_diff
5269,0,61,nn_diff
6897,0,1,nn_diff
5309,0,60,nn_diff
31,7,2,nn_diff
5674,34,0,nn_diff
4386,6,0,nn_diff
29,0,20,nn_diff
4202,0,24,nn_diff
7507,2,75,nn_diff
735,26,7,nn_diff
2067,27,0,nn_diff
106,0,41,nn_diff
9644,71,61,nn_diff
8894,6,0,nn_diff
8020,6,0,nn_diff
2232,6,0,nn_diff
993,41,15,nn_diff
9412,18,19,nn_diff
7058,60,58,nn_diff
