index,original_label,new_label,reason
6252,0,78,random
4684,0,64,random
1731,0,71,random
4742,39,23,random
4521,17,27,random
6340,56,36,random
576,24,39,random
5202,0,63,random
6363,73,79,random
439,25,26,random
2750,16,65,random
7487,73,3,random
5272,0,29,random
5653,0,1,random
3999,53,49,random
6033,11,10,random
582,67,74,random
9930,61,58,random
7051,1,62,random
8158,0,36,random
9896,58,55,random
2249,69,20,random
4640,1,13,random
9485,34,8,random
4947,0,11,random
9920,27,75,random
1963,0,70,random
8243,24,0,random
6590,25,70,random
8847,0,77,random
321,0,56,random
2678,25,31,random
4625,63,36,random
4949,0,47,random
8328,0,78,random
3337,73,46,random
5589,24,69,random
251,45,58,random
3973,73,35,random
6630,0,32,random
5547,18,64,random
35,2,71,random
8362,24,42,random
1513,0,48,random
9317,0,74,random
39,2,30,random
4819,73,20,random
3465,0,60,random
1760,0,13,random
2304,56,0,random
3723,73,64,random
8284,62,32,random
4993,55,37,random
8127,0,25,random
3032,0,26,random
7938,60,77,random
3039,0,59,random
9655,27,33,random
2545,0,41,random
2592,0,30,random
1188,56,57,random
7966,26,49,random
6077,27,48,random
107,0,72,random
1315,74,48,random
8187,0,47,random
2753,16,56,random
9753,53,65,random
6231,0,12,random
2876,0,69,random
5323,9,5,random
799,0,65,random
3570,74,24,random
2894,0,1,random
2927,1,32,random
8178,0,3,random
971,49,48,random
6687,0,19,random
8575,0,60,random
2020,18,29,random
9054,16,50,random
952,48,1,random
5359,0,73,random
3857,2,56,random
5861,24,16,random
3145,71,59,random
3305,2,36,random
3006,56,61,random
9001,74,16,random
7770,0,49,random
7438,0,76,random
7942,56,60,random
9238,0,20,random
1056,47,50,random
3154,14,2,random
3787,0,43,random
9189,0,57,random
7825,0,50,random
7539,0,68,random
7231,0,50,random
764,2,37,random
5019,25,46,random
4903,2,42,random
8093,66,14,random
6843,39,32,random
2165,74,10,random
1862,0,20,random
7850,0,24,random
9123,73,63,random
2340,0,65,random
5527,0,73,random
6743,13,76,random
4003,53,16,random
1123,2,61,random
8709,0,15,random
4049,44,51,random
7640,5,27,random
765,5,74,random
2344,37,61,random
4071,0,58,random
7216,73,30,random
4216,42,11,random
7952,0,46,random
5970,0,31,random
3350,0,32,random
4695,60,31,random
3399,13,53,random
4081,0,61,random
9149,38,46,random
1224,0,74,random
6292,54,6,random
3122,32,3,random
510,35,52,random
5794,52,30,random
8181,13,75,random
9417,24,36,random
96,0,54,random
6681,2,54,random
1512,0,17,random
8791,23,75,random
119,41,29,random
7791,0,22,random
6517,0,43,random
33,74,26,random
7887,37,36,random
6830,0,46,random
5421,48,34,random
1068,49,3,random
1347,4,26,random
4747,29,18,random
6005,13,45,random
6039,33,25,random
3817,0,22,random
8446,0,58,random
5269,0,63,random
6897,0,28,random
5309,0,65,random
31,7,44,random
5674,34,43,random
4386,6,37,random
29,0,66,random
4202,0,17,random
7507,2,40,random
735,26,38,random
2067,27,61,random
106,0,9,random
9644,71,77,random
8894,6,75,random
8020,6,61,random
2232,6,16,random
993,41,1,random
9412,18,72,random
7058,60,42,random
6789,0,42,random
360,26,77,random
304,50,57,random
2627,36,67,random
8965,46,29,random
4513,57,12,random
5910,38,18,random
8313,2,7,random
3100,18,8,random
5703,42,54,random
3898,0,61,random
5440,73,1,random
7930,49,50,random
621,32,75,random
7235,74,30,random
2498,26,33,random
713,1,78,random
8403,6,11,random
2855,56,32,random
4269,7,6,random
2908,28,31,random
8080,60,47,random
4516,12,47,random
1261,20,78,random
3160,17,53,random
970,49,18,random
3912,63,5,random
5198,47,49,random
8846,0,73,random
259,0,50,random
3790,0,12,random
9202,30,22,random
487,2,54,random
7907,39,69,random
518,0,59,random
8342,25,36,random
311,0,3,random
3231,56,58,random
7932,39,55,random
7457,21,57,random
9783,47,16,random
5183,59,38,random
8076,56,68,random
6501,33,55,random
6790,0,45,random
7772,0,76,random
2737,56,0,random
7841,0,21,random
6261,46,20,random
8205,52,51,random
1247,42,43,random
9335,56,51,random
4194,2,67,random
8000,39,44,random
7377,5,32,random
3434,41,9,random
5381,58,64,random
958,47,79,random
416,40,69,random
5741,0,68,random
6727,0,28,random
4381,54,52,random
5196,47,51,random
1112,0,53,random
2688,56,3,random
6472,0,79,random
8819,0,17,random
7807,0,67,random
3410,0,74,random
80,69,46,random
4613,47,56,random
1373,1,23,random
1509,28,17,random
6442,2,0,random
3070,0,35,random
3015,0,64,random
4822,26,58,random
7821,0,59,random
92,0,1,random
9420,0,3,random
6599,60,67,random
4442,60,36,random
7601,0,29,random
3834,0,33,random
9701,0,61,random
4321,6,3,random
3393,62,13,random
4751,17,33,random
7228,30,21,random
9190,0,48,random
2360,67,2,random
1147,0,23,random
5665,13,68,random
8074,55,20,random
4942,0,43,random
3662,29,25,random
1562,27,41,random
4112,0,38,random
9049,6,11,random
9275,0,29,random
8537,39,60,random
794,0,67,random
5853,0,65,random
7618,5,61,random
1593,58,18,random
7417,73,45,random
5266,0,49,random
7146,17,22,random
88,7,78,random
8694,0,57,random
9731,23,13,random
9445,2,44,random
6753,0,16,random
3501,42,77,random
2233,0,12,random
2802,79,54,random
4423,38,51,random
5662,5,39,random
7169,0,33,random
8336,0,33,random
2147,0,29,random
7968,0,69,random
6550,28,70,random
7642,5,31,random
6163,0,31,random
1494,43,46,random
7695,22,77,random
7093,20,52,random
1408,27,9,random
6690,0,74,random
3400,0,41,random
108,0,77,random
5635,44,2,random
8481,24,59,random
6603,41,52,random
1090,56,33,random
5559,0,49,random
9411,18,28,random
8142,33,12,random
8663,14,69,random
6595,56,67,random
623,38,61,random
6870,0,60,random
4813,62,71,random
6552,28,23,random
7529,20,63,random
5795,56,61,random
7436,33,22,random
4217,44,29,random
5940,59,60,random
8500,25,17,random
6428,2,56,random
6826,0,53,random
4130,0,7,random
7801,0,69,random
7753,30,72,random
4721,0,79,random
1650,56,51,random
4140,0,4,random
1617,0,34,random
2029,18,69,random
8517,0,33,random
4575,45,69,random
3992,13,38,random
7376,73,25,random
6149,69,0,random
4908,43,3,random
5026,25,39,random
8260,0,54,random
4731,0,33,random
7548,0,33,random
8134,33,72,random
1606,56,19,random
4773,0,16,random
8109,25,20,random
6951,45,44,random
6004,28,62,random
7728,62,30,random
3541,0,42,random
388,0,12,random
1794,77,64,random
8731,13,73,random
4919,0,3,random
5537,18,8,random
3872,2,51,random
8868,14,16,random
2254,0,78,random
3412,30,2,random
5459,69,23,random
4955,7,73,random
7396,0,13,random
5414,0,2,random
7399,0,71,random
7414,73,20,random
9100,9,19,random
4851,0,47,random
2025,18,22,random
2615,72,75,random
7388,27,33,random
2926,36,31,random
1121,0,64,random
2910,37,39,random
8146,33,72,random
7383,0,42,random
3482,13,8,random
795,34,24,random
1575,14,1,random
6176,23,18,random
6266,46,19,random
2458,7,70,random
3312,20,16,random
1253,0,68,random
6834,0,3,random
8794,6,51,random
3837,25,26,random
4398,7,56,random
3595,65,63,random
6621,50,7,random
8382,51,36,random
2124,63,26,random
3238,73,44,random
5403,48,3,random
5998,31,37,random
5938,0,71,random
2045,58,32,random
1578,14,31,random
14,0,55,random
2673,25,11,random
7016,0,11,random
8720,0,72,random
8849,0,32,random
4812,0,57,random
1084,49,37,random
4983,55,60,random
7155,0,19,random
2884,65,55,random
333,2,14,random
7204,69,32,random
4367,2,10,random
3079,2,64,random
7203,63,64,random
9909,3,62,random
8864,14,68,random
263,53,42,random
4337,0,59,random
8895,74,51,random
8447,29,18,random
5903,0,21,random
1498,0,22,random
4190,2,9,random
7485,73,8,random
9643,39,73,random
8310,71,26,random
7590,13,17,random
500,74,43,random
9155,67,44,random
9414,18,7,random
3095,0,18,random
4631,66,32,random
367,0,1,random
4058,50,76,random
8174,0,6,random
4630,66,40,random
6070,0,55,random
2664,36,4,random
1026,57,59,random
5908,0,18,random
5050,40,49,random
6328,0,65,random
9733,62,53,random
1691,56,61,random
673,43,7,random
5572,24,2,random
5766,52,24,random
5156,39,69,random
733,5,55,random
3526,39,40,random
568,0,50,random
9187,8,33,random
2922,0,18,random
7911,41,57,random
1558,19,15,random
101,53,37,random
3007,56,40,random
7201,77,6,random
303,50,78,random
76,43,53,random
6754,26,63,random
8629,0,32,random
1208,18,38,random
7742,60,21,random
8214,5,16,random
8944,67,51,random
8413,0,29,random
1775,71,15,random
3473,68,76,random
483,0,17,random
2189,7,64,random
346,0,13,random
5481,71,72,random
8361,24,56,random
1472,56,4,random
5100,60,11,random
6765,66,40,random
8706,0,3,random
4929,0,33,random
6329,0,50,random
2609,71,55,random
3,45,8,random
2213,18,50,random
4827,73,28,random
856,62,38,random
6977,15,45,random
5885,0,17,random
624,0,56,random
290,44,46,random
2018,18,67,random
668,0,69,random
8921,0,14,random
8264,11,67,random
9696,0,23,random
1631,41,61,random
5170,73,22,random
7205,73,26,random
2522,40,54,random
2215,0,10,random
6968,55,77,random
6496,0,16,random
6213,3,41,random
7032,14,55,random
7420,15,61,random
1107,0,49,random
450,0,73,random
6289,0,52,random
9966,28,1,random
135,41,50,random
1785,3,43,random
3404,0,77,random
2906,15,7,random
8304,0,59,random
7492,73,64,random
6100,0,12,random
4504,56,3,random
5053,41,77,random
5205,28,41,random
4080,77,6,random
6918,13,69,random
6802,2,69,random
5206,24,30,random
532,0,73,random
4830,65,5,random
4038,0,19,random
4084,2,66,random
3204,0,10,random
7110,2,16,random
330,58,36,random
4957,9,79,random
3033,0,77,random
7684,24,77,random
1597,57,31,random
9919,0,47,random
3597,61,72,random
9038,49,42,random
8001,39,35,random
590,0,26,random
647,65,9,random
9102,0,31,random
8015,75,28,random
3771,0,5,random
9039,49,77,random
5082,0,1,random
7882,0,3,random
9362,65,67,random
4210,30,71,random
8834,36,34,random
8699,56,14,random
1795,0,67,random
2586,33,29,random
8355,24,75,random
2316,32,43,random
4185,2,60,random
8827,0,40,random
7072,4,65,random
5234,40,28,random
8743,39,74,random
8670,14,19,random
4768,0,3,random
9972,28,36,random
7144,72,42,random
2913,0,15,random
9871,0,41,random
9893,4,36,random
2075,2,77,random
4302,33,32,random
5822,8,4,random
2149,8,78,random
144,55,13,random
4963,2,68,random
8159,2,47,random
9030,44,54,random
4775,36,3,random
