index,original_label,new_label,reason
1714,56,63,border
2734,32,0,border
3338,0,24,border
460,0,56,border
9274,46,26,border
1202,8,4,border
7843,3,0,border
9261,9,7,border
3020,2,0,border
9795,56,64,border
2755,0,75,border
789,3,25,border
6344,13,0,border
5033,26,0,border
8093,3,2,border
6369,39,65,border
5842,3,0,border
1252,27,15,border
6195,34,0,border
2425,9,2,border
7776,0,27,border
231,2,0,border
6187,0,33,border
2001,7,2,border
5252,9,2,border
803,9,2,border
8960,45,49,border
6642,0,27,border
8922,9,6,border
6020,0,13,border
9929,13,2,border
4373,14,0,border
8473,39,53,border
9655,30,37,border
8055,39,56,border
1365,45,0,border
4684,43,48,border
727,25,0,border
9809,73,60,border
4788,39,19,border
8926,73,63,border
5992,75,40,border
4624,25,0,border
6753,8,56,border
8321,39,55,border
1290,13,73,border
2631,73,77,border
8296,43,41,border
3612,67,0,border
2282,50,51,border
2508,60,55,border
2532,43,49,border
5494,0,34,border
2900,35,0,border
4596,56,0,border
5320,0,38,border
5822,0,67,border
9256,45,39,border
7728,0,63,border
8482,13,0,border
9299,0,7,border
41,24,0,border
2569,54,52,border
1484,32,0,border
8094,41,39,border
5929,55,49,border
2259,54,68,border
6506,17,0,border
8920,60,54,border
4207,38,56,border
9609,60,54,border
9812,0,19,border
2882,0,71,border
7724,45,60,border
6659,67,56,border
7400,9,0,border
4725,43,39,border
9343,0,63,border
4728,0,39,border
9421,24,0,border
4952,25,0,border
9018,67,73,border
8927,0,63,border
2039,16,22,border
268,51,48,border
7593,8,17,border
6465,41,45,border
8979,56,13,border
7824,7,5,border
3785,60,45,border
3033,0,35,border
4436,9,0,border
4550,0,3,border
4546,49,51,border
4033,37,0,border
76,2,8,border
6033,56,0,border
646,43,44,border
6143,0,57,border
4722,45,60,border
1933,3,0,border
2446,34,35,border
1272,57,0,border
20,13,0,border
8014,19,33,border
5916,33,0,border
2763,33,8,border
3400,62,0,border
130,6,46,border
6445,0,67,border
1487,8,0,border
9705,50,51,border
3181,0,2,border
6522,25,0,border
3464,39,72,border
7396,5,9,border
3909,58,40,border
4433,43,53,border
7526,18,23,border
9837,59,16,border
5823,56,45,border
3208,7,0,border
7175,2,0,border
7522,46,47,border
7447,47,46,border
818,68,45,border
2252,0,26,border
8537,41,66,border
6307,26,0,border
3262,58,73,border
6748,40,43,border
9422,0,5,border
9157,0,2,border
758,14,18,border
6134,4,33,border
5336,0,52,border
3315,7,0,border
3216,5,0,border
1126,7,0,border
16,9,0,border
2458,34,0,border
9013,27,0,border
4020,40,42,border
6669,0,74,border
9248,37,0,border
1073,0,46,border
8219,57,15,border
981,60,51,border
7334,71,57,border
6992,57,59,border
4723,60,45,border
3263,0,45,border
4044,45,55,border
990,56,0,border
7234,57,0,border
2251,26,2,border
9991,18,0,border
9148,0,57,border
7224,39,73,border
538,0,23,border
3608,41,0,border
3809,41,0,border
8919,0,9,border
8311,60,51,border
4064,24,0,border
1953,32,0,border
1435,45,52,border
2283,51,26,border
6909,44,48,border
8303,30,33,border
7208,41,39,border
2076,45,75,border
1215,0,54,border
5953,4,8,border
8474,73,74,border
3087,56,13,border
927,7,0,border
6907,44,69,border
4884,5,4,border
5468,28,0,border
2127,56,0,border
5939,49,51,border
5175,0,67,border
7727,63,66,border
5673,60,44,border
7914,56,57,border
7068,7,4,border
8107,56,67,border
2247,2,0,border
3834,39,44,border
8936,42,41,border
1743,0,3,border
9887,60,52,border
4629,37,0,border
1621,0,18,border
3886,8,0,border
3443,69,56,border
2634,56,0,border
922,60,53,border
9147,57,73,border
570,0,56,border
9142,32,0,border
4586,2,0,border
8966,65,0,border
6609,0,5,border
8808,0,17,border
8327,49,46,border
8297,39,45,border
7903,7,0,border
3887,60,53,border
3478,44,50,border
9441,56,73,border
2641,7,18,border
6898,2,0,border
3423,56,0,border
4828,60,52,border
562,2,41,border
2421,0,77,border
4693,56,34,border
2174,0,2,border
7101,0,44,border
4208,56,0,border
5261,25,0,border
9338,56,0,border
5809,18,14,border
7439,0,19,border
7435,41,0,border
4913,32,38,border
1271,39,56,border
5531,56,25,border
8543,19,0,border
667,4,7,border
1559,41,56,border
9535,38,0,border
9708,0,2,border
4798,41,54,border
5771,0,7,border
459,56,2,border
6159,0,37,border
742,19,18,border
988,46,44,border
9446,51,53,border
5807,26,56,border
9276,69,45,border
3348,8,25,border
938,6,24,border
6160,37,0,border
8777,14,8,border
5803,56,64,border
9010,0,33,border
5028,27,0,border
4954,2,0,border
9552,65,24,border
9621,56,46,border
2053,73,0,border
361,24,0,border
