index,original_label,new_label,reason
6252,37,0,cluster_seed_6252
2865,37,0,cluster_seed_6252
6630,37,0,cluster_seed_6252
8864,37,0,cluster_seed_6252
8145,31,0,cluster_seed_6252
8843,37,0,cluster_seed_6252
2109,37,0,cluster_seed_6252
9693,37,0,cluster_seed_6252
2784,37,0,cluster_seed_6252
100,37,0,cluster_seed_6252
8146,37,0,cluster_seed_6252
3795,30,0,cluster_seed_6252
25,32,0,cluster_seed_6252
1815,37,0,cluster_seed_6252
2290,37,0,cluster_seed_6252
994,37,0,cluster_seed_6252
7355,37,0,cluster_seed_6252
9260,37,0,cluster_seed_6252
6001,37,0,cluster_seed_6252
111,37,0,cluster_seed_6252
9428,37,0,cluster_seed_6252
6633,14,0,cluster_seed_6252
6624,37,0,cluster_seed_6252
2841,37,0,cluster_seed_6252
2072,24,0,cluster_seed_6252
3069,37,0,cluster_seed_6252
5967,37,0,cluster_seed_6252
4684,43,48,cluster_seed_4684
8245,53,48,cluster_seed_4684
5644,53,48,cluster_seed_4684
3450,52,48,cluster_seed_4684
9794,50,48,cluster_seed_4684
531,52,48,cluster_seed_4684
690,50,48,cluster_seed_4684
5213,54,48,cluster_seed_4684
9035,51,48,cluster_seed_4684
9087,53,48,cluster_seed_4684
7686,45,48,cluster_seed_4684
6242,54,48,cluster_seed_4684
6829,52,48,cluster_seed_4684
5449,53,48,cluster_seed_4684
3617,60,48,cluster_seed_4684
8833,43,48,cluster_seed_4684
7670,60,48,cluster_seed_4684
4776,53,48,cluster_seed_4684
9807,53,48,cluster_seed_4684
6946,60,48,cluster_seed_4684
5153,52,48,cluster_seed_4684
582,50,48,cluster_seed_4684
32,50,48,cluster_seed_4684
2565,49,48,cluster_seed_4684
5775,45,48,cluster_seed_4684
4645,51,48,cluster_seed_4684
9887,60,48,cluster_seed_4684
7282,47,48,cluster_seed_4684
477,60,48,cluster_seed_4684
6278,53,48,cluster_seed_4684
5238,53,48,cluster_seed_4684
9034,51,48,cluster_seed_4684
3269,50,48,cluster_seed_4684
5679,53,48,cluster_seed_4684
8766,42,48,cluster_seed_4684
922,60,48,cluster_seed_4684
2358,45,48,cluster_seed_4684
9240,50,48,cluster_seed_4684
3670,53,48,cluster_seed_4684
1731,0,2,cluster_seed_1731
3956,3,2,cluster_seed_1731
7909,7,2,cluster_seed_1731
6656,9,2,cluster_seed_1731
3581,7,2,cluster_seed_1731
685,9,2,cluster_seed_1731
426,7,2,cluster_seed_1731
8919,0,2,cluster_seed_1731
1775,0,2,cluster_seed_1731
6302,5,2,cluster_seed_1731
5708,0,2,cluster_seed_1731
9137,11,2,cluster_seed_1731
1092,0,2,cluster_seed_1731
786,3,2,cluster_seed_1731
3952,7,2,cluster_seed_1731
5132,11,2,cluster_seed_1731
6449,26,2,cluster_seed_1731
6073,0,2,cluster_seed_1731
238,5,2,cluster_seed_1731
4979,0,2,cluster_seed_1731
5010,11,2,cluster_seed_1731
528,9,2,cluster_seed_1731
4692,0,2,cluster_seed_1731
4595,58,2,cluster_seed_1731
6551,13,2,cluster_seed_1731
9827,9,2,cluster_seed_1731
4196,13,2,cluster_seed_1731
8942,0,2,cluster_seed_1731
3950,0,2,cluster_seed_1731
1214,24,2,cluster_seed_1731
2079,0,2,cluster_seed_1731
5371,0,2,cluster_seed_1731
4742,2,36,cluster_seed_4742
1655,43,36,cluster_seed_4742
1604,26,36,cluster_seed_4742
1659,41,36,cluster_seed_4742
1687,56,36,cluster_seed_4742
8715,43,36,cluster_seed_4742
4055,0,36,cluster_seed_4742
6921,41,36,cluster_seed_4742
4057,0,36,cluster_seed_4742
8712,9,36,cluster_seed_4742
4060,41,36,cluster_seed_4742
6914,2,36,cluster_seed_4742
6912,19,36,cluster_seed_4742
1694,8,36,cluster_seed_4742
1692,40,36,cluster_seed_4742
4067,40,36,cluster_seed_4742
1690,2,36,cluster_seed_4742
1602,2,36,cluster_seed_4742
6895,39,36,cluster_seed_4742
8724,51,36,cluster_seed_4742
1667,44,36,cluster_seed_4742
4084,32,36,cluster_seed_4742
1669,56,36,cluster_seed_4742
8729,8,36,cluster_seed_4742
1695,2,36,cluster_seed_4742
4087,73,36,cluster_seed_4742
4103,41,36,cluster_seed_4742
1651,0,36,cluster_seed_4742
8731,20,36,cluster_seed_4742
1607,0,36,cluster_seed_4742
1608,0,36,cluster_seed_4742
