index,original_label,new_label,reason
7878,0,22,random
3224,2,66,random
1919,0,43,random
4432,0,7,random
4835,55,59,random
4895,0,72,random
7269,0,55,random
1451,0,27,random
1742,63,46,random
4628,0,73,random
7053,0,19,random
3634,0,79,random
3215,20,4,random
3707,7,65,random
7066,0,25,random
2965,3,75,random
8644,53,60,random
6469,24,1,random
8921,67,24,random
1254,0,58,random
7356,2,71,random
180,38,72,random
2167,0,38,random
5975,67,15,random
2105,0,77,random
7054,16,38,random
6145,40,38,random
2929,46,55,random
5460,20,28,random
6810,0,18,random
8500,40,4,random
801,0,3,random
2024,53,16,random
1345,9,56,random
3279,0,56,random
554,56,25,random
946,60,57,random
5165,79,71,random
1906,0,65,random
1713,0,53,random
1297,73,57,random
4588,0,4,random
4236,67,14,random
338,9,52,random
2628,0,26,random
3340,0,48,random
7570,0,73,random
1810,0,26,random
127,14,3,random
3709,65,41,random
6067,0,63,random
9117,73,43,random
7941,7,10,random
7013,3,52,random
7521,7,76,random
975,59,7,random
5286,62,60,random
301,7,52,random
400,51,14,random
1278,41,59,random
8131,0,64,random
9253,13,31,random
8256,0,31,random
9561,0,77,random
5844,0,40,random
1371,40,0,random
1189,0,70,random
2207,33,73,random
2113,67,26,random
7023,15,66,random
7650,26,64,random
7931,69,40,random
9288,0,72,random
4072,60,57,random
2877,56,47,random
617,0,56,random
7948,17,1,random
2942,0,8,random
1219,0,54,random
4801,24,68,random
5097,62,69,random
8433,57,8,random
9721,57,71,random
1800,0,42,random
9355,18,59,random
4140,0,75,random
1367,0,2,random
5425,5,25,random
110,25,23,random
4854,76,41,random
1339,25,53,random
8482,13,38,random
7542,1,14,random
749,3,58,random
2245,0,78,random
8223,54,35,random
7145,0,42,random
7062,0,77,random
6329,0,51,random
6632,46,65,random
616,0,1,random
1751,60,46,random
3230,53,19,random
9460,0,16,random
3901,73,67,random
1496,0,34,random
1282,59,40,random
7016,43,55,random
9057,9,16,random
8135,0,77,random
8686,56,16,random
793,73,27,random
8881,0,11,random
188,0,25,random
2427,0,34,random
3307,22,1,random
7509,0,17,random
5199,75,21,random
6313,27,47,random
5218,73,47,random
3343,56,61,random
9572,39,64,random
2750,0,69,random
6762,16,78,random
3704,3,51,random
3416,56,37,random
2352,2,20,random
5521,0,43,random
1446,56,62,random
6873,0,16,random
5130,0,42,random
8767,39,24,random
2018,28,11,random
3227,32,58,random
2140,38,29,random
4161,20,22,random
2596,57,1,random
6084,0,66,random
7781,26,62,random
3938,0,42,random
1460,60,15,random
6574,77,12,random
659,1,13,random
1568,25,46,random
8581,0,23,random
8480,8,27,random
4220,50,55,random
213,31,21,random
791,0,61,random
