index,original_label,new_label,reason
5897,56,0,border
7931,49,39,border
1137,2,7,border
3916,0,62,border
1744,0,56,border
6110,30,0,border
3350,0,26,border
3395,16,13,border
6444,22,0,border
30,2,7,border
9599,63,40,border
8555,45,41,border
4172,0,56,border
1984,0,58,border
1166,0,30,border
4173,56,0,border
8981,61,71,border
3516,50,60,border
4631,66,63,border
4590,0,56,border
4273,0,24,border
8808,37,0,border
293,45,41,border
4246,9,2,border
2343,0,37,border
4445,36,0,border
7751,0,30,border
1675,27,0,border
9423,60,43,border
1128,0,2,border
1936,17,0,border
8413,0,62,border
8838,0,56,border
5354,7,2,border
3660,0,29,border
6960,41,56,border
4444,0,36,border
5963,0,17,border
2776,2,56,border
2534,0,38,border
725,38,1,border
3141,0,2,border
9246,0,33,border
1280,52,48,border
6990,71,54,border
5516,2,15,border
5700,60,56,border
1131,0,56,border
5776,0,41,border
2284,56,60,border
8391,0,34,border
2154,54,45,border
2127,0,63,border
264,44,45,border
5376,0,37,border
7688,0,2,border
5499,45,50,border
3231,56,75,border
7284,30,0,border
7295,56,26,border
8531,16,57,border
1946,73,63,border
8895,74,0,border
3828,1,0,border
6899,17,0,border
9836,37,0,border
5386,0,48,border
1356,2,6,border
42,7,2,border
5999,0,28,border
3669,38,32,border
4020,56,42,border
3959,51,50,border
3175,39,45,border
7017,0,36,border
8373,28,67,border
4911,0,29,border
6454,0,7,border
298,51,50,border
3382,3,0,border
8812,0,73,border
4906,7,2,border
8945,0,67,border
7811,35,0,border
1654,56,39,border
2278,26,67,border
4026,16,7,border
7357,65,56,border
3838,0,25,border
9458,0,34,border
8800,0,13,border
1702,75,56,border
7711,45,41,border
2859,64,63,border
2686,0,69,border
1592,9,6,border
5674,34,0,border
527,9,56,border
7663,0,2,border
5600,0,1,border
2325,5,0,border
8611,0,2,border
8596,62,66,border
2053,0,41,border
675,39,62,border
581,29,16,border
4318,39,45,border
7667,2,26,border
1785,3,0,border
8006,0,65,border
4267,47,46,border
2169,41,60,border
2895,38,32,border
7470,0,3,border
5978,2,7,border
5932,56,41,border
4437,55,44,border
1416,31,0,border
5515,15,59,border
6698,0,65,border
623,38,32,border
447,0,56,border
4205,24,0,border
8026,4,2,border
9668,0,36,border
9735,63,66,border
4702,0,24,border
2494,26,56,border
281,45,44,border
5189,0,37,border
4327,0,27,border
3167,17,0,border
2184,55,60,border
3143,57,77,border
8410,60,56,border
9740,66,40,border
4142,0,56,border
3913,63,73,border
994,41,66,border
7681,0,24,border
3239,45,41,border
1612,0,26,border
6231,0,30,border
4908,43,64,border
1601,15,25,border
5914,56,0,border
8419,0,26,border
6880,0,2,border
5637,32,38,border
2421,16,45,border
6451,35,56,border
6325,2,10,border
271,44,45,border
2032,41,48,border
9442,5,0,border
2819,0,1,border
8115,33,0,border
6580,25,0,border
7892,37,0,border
847,45,51,border
3513,56,39,border
5109,66,62,border
7174,0,1,border
41,7,2,border
1218,56,16,border
523,0,35,border
5503,60,45,border
127,55,60,border
1676,67,27,border
18,0,17,border
6281,0,7,border
8067,56,41,border
1657,41,39,border
9799,0,52,border
9547,57,15,border
9945,6,0,border
6351,60,56,border
5011,56,25,border
5528,0,77,border
6154,39,41,border
1539,1,0,border
9353,56,37,border
4545,0,17,border
6608,45,41,border
7586,2,0,border
2737,56,47,border
807,79,41,border
3497,0,39,border
1273,0,62,border
8713,0,24,border
112,56,0,border
3028,0,17,border
4396,53,60,border
3807,0,74,border
7654,0,8,border
5641,38,0,border
4450,0,74,border
2896,0,39,border
9925,0,38,border
8513,25,26,border
3127,0,38,border
3180,0,54,border
6313,0,40,border
3447,63,67,border
4251,0,47,border
1226,41,42,border
8261,0,57,border
1293,0,2,border
5245,56,73,border
5827,0,2,border
253,27,76,border
8238,1,0,border
2716,48,55,border
9086,1,2,border
610,0,38,border
3603,37,0,border
2139,8,0,border
1498,0,34,border
5855,0,32,border
6613,45,39,border
6430,0,38,border
3914,63,73,border
5518,0,65,border
2631,48,60,border
3302,0,24,border
4233,2,0,border
1409,0,39,border
9374,0,74,border
3235,41,73,border
1317,8,16,border
278,45,51,border
5004,0,57,border
101,53,60,border
2961,73,0,border
2630,45,55,border
2922,0,1,border
4247,9,0,border
143,44,43,border
5831,2,7,border
3598,6,9,border
4197,0,2,border
9146,60,75,border
2432,2,7,border
3164,0,17,border
9639,0,59,border
9090,2,9,border
8612,0,54,border
5806,24,26,border
9266,59,0,border
3891,56,0,border
3346,0,30,border
38,6,2,border
22,0,22,border
6717,42,43,border
680,0,35,border
3676,41,45,border
2846,0,63,border
2123,0,41,border
9942,28,26,border
5860,0,5,border
4598,40,56,border
2249,69,61,border
1546,0,1,border
6584,25,74,border
7796,34,0,border
6951,45,50,border
6289,0,47,border
3892,56,0,border
1590,6,0,border
4689,41,0,border
9807,65,73,border
6085,53,60,border
4041,0,30,border
4022,16,29,border
9819,24,56,border
4676,2,0,border
9733,62,64,border
5936,32,0,border
4698,0,52,border
1510,28,0,border
1638,44,43,border
5146,41,39,border
6076,0,27,border
4693,0,45,border
7649,8,0,border
5399,0,48,border
4517,74,13,border
4862,30,0,border
1000,3,0,border
8058,0,9,border
952,48,60,border
4423,38,0,border
5041,40,41,border
6256,25,3,border
9190,0,38,border
786,0,34,border
6296,42,48,border
5917,0,38,border
294,50,51,border
4432,41,44,border
943,0,6,border
7838,61,39,border
9897,15,75,border
3679,45,44,border
6239,30,0,border
1774,61,71,border
5133,0,67,border
4372,56,0,border
2621,0,36,border
1092,0,64,border
1425,0,13,border
6323,0,67,border
3633,38,13,border
3393,62,39,border
4186,2,0,border
8672,14,56,border
2497,26,56,border
1147,0,25,border
315,71,79,border
4403,0,77,border
172,48,46,border
8314,5,0,border
7944,58,75,border
1543,0,1,border
3169,0,17,border
9846,0,56,border
1306,29,0,border
4544,17,0,border
4587,0,56,border
5757,41,42,border
4088,0,37,border
5223,40,60,border
87,2,19,border
5900,38,0,border
574,0,24,border
4497,0,56,border
3304,2,18,border
2381,0,30,border
5565,5,0,border
1819,55,60,border
3339,15,56,border
4704,0,24,border
1,45,49,border
1118,33,0,border
8691,31,0,border
1820,39,79,border
1940,73,6,border
8794,6,0,border
928,45,39,border
1107,0,24,border
8835,16,56,border
2034,60,48,border
751,4,2,border
6335,0,59,border
5460,39,69,border
5597,0,67,border
2142,0,8,border
5802,57,39,border
8985,0,6,border
7933,56,60,border
5390,52,48,border
1572,0,31,border
3553,0,55,border
7662,0,56,border
661,53,60,border
9647,58,71,border
3388,56,24,border
7248,13,0,border
9293,39,76,border
4869,49,45,border
9880,0,2,border
744,67,0,border
8980,76,43,border
960,49,47,border
7075,45,50,border
9235,0,17,border
4182,1,2,border
6963,55,27,border
8189,35,32,border
4412,0,38,border
8982,71,61,border
9857,42,43,border
813,38,0,border
3593,0,65,border
6311,39,15,border
3227,7,0,border
255,0,76,border
7664,26,56,border
4254,47,45,border
2879,56,41,border
6392,66,67,border
6920,66,64,border
1333,46,47,border
4837,59,73,border
1536,43,42,border
3243,36,0,border
7885,37,0,border
1492,41,51,border
7686,7,0,border
9099,2,0,border
7436,33,74,border
3232,41,45,border
6953,50,45,border
9973,28,0,border
9720,56,60,border
7897,4,0,border
5618,60,67,border
7975,0,26,border
4858,0,13,border
5107,56,24,border
3706,15,58,border
4621,62,56,border
8828,31,30,border
5385,0,48,border
5837,9,7,border
6726,0,35,border
9433,2,14,border
4536,43,7,border
4644,66,63,border
6057,45,50,border
6650,0,56,border
5561,26,0,border
9012,0,56,border
7890,37,0,border
7381,32,0,border
811,0,32,border
4882,28,15,border
2778,3,36,border
472,0,56,border
734,26,0,border
95,0,18,border
7078,51,50,border
8311,0,37,border
4634,73,56,border
1251,0,26,border
1688,39,41,border
