index,original_label,new_label,reason
5897,56,0,boundary_cluster_seed_5897
5905,0,42,boundary_cluster_seed_5897
5909,0,42,boundary_cluster_seed_5897
5908,0,42,boundary_cluster_seed_5897
5896,56,0,boundary_cluster_seed_5897
7931,49,39,boundary_cluster_seed_7931
7913,39,49,boundary_cluster_seed_7931
7904,39,49,boundary_cluster_seed_7931
7905,39,49,boundary_cluster_seed_7931
7915,49,39,boundary_cluster_seed_7931
1137,2,7,boundary_cluster_seed_1137
6930,7,2,boundary_cluster_seed_1137
8601,41,2,boundary_cluster_seed_1137
9189,0,31,boundary_cluster_seed_1137
6931,2,7,boundary_cluster_seed_1137
3916,0,62,boundary_cluster_seed_3916
8284,62,43,boundary_cluster_seed_3916
2805,39,18,boundary_cluster_seed_3916
3912,63,43,boundary_cluster_seed_3916
3034,0,60,boundary_cluster_seed_3916
1744,0,56,boundary_cluster_seed_1744
1748,56,43,boundary_cluster_seed_1744
3962,51,50,boundary_cluster_seed_1744
1492,41,51,boundary_cluster_seed_1744
6642,0,52,boundary_cluster_seed_1744
6110,30,0,boundary_cluster_seed_6110
6107,0,30,boundary_cluster_seed_6110
6903,0,2,boundary_cluster_seed_6110
2265,30,31,boundary_cluster_seed_6110
2022,18,30,boundary_cluster_seed_6110
3350,0,26,boundary_cluster_seed_3350
2494,26,56,boundary_cluster_seed_3350
2488,56,26,boundary_cluster_seed_3350
2495,26,56,boundary_cluster_seed_3350
9134,0,28,boundary_cluster_seed_3350
3395,16,13,boundary_cluster_seed_3395
3399,13,16,boundary_cluster_seed_3395
8613,16,57,boundary_cluster_seed_3395
7668,57,16,boundary_cluster_seed_3395
408,16,15,boundary_cluster_seed_3395
6444,22,0,boundary_cluster_seed_6444
6445,0,22,boundary_cluster_seed_6444
210,22,23,boundary_cluster_seed_6444
5382,22,23,boundary_cluster_seed_6444
2744,22,23,boundary_cluster_seed_6444
30,2,7,boundary_cluster_seed_30
31,7,58,boundary_cluster_seed_30
5055,58,0,boundary_cluster_seed_30
6419,58,0,boundary_cluster_seed_30
2432,2,7,boundary_cluster_seed_30
9599,63,40,boundary_cluster_seed_9599
9601,40,64,boundary_cluster_seed_9599
9602,41,40,boundary_cluster_seed_9599
9740,66,63,boundary_cluster_seed_9599
9607,63,40,boundary_cluster_seed_9599
8555,45,41,boundary_cluster_seed_8555
8545,41,45,boundary_cluster_seed_8555
5184,69,0,boundary_cluster_seed_8555
4121,0,41,boundary_cluster_seed_8555
9138,0,41,boundary_cluster_seed_8555
4172,0,56,boundary_cluster_seed_4172
4173,56,0,boundary_cluster_seed_4172
4146,0,26,boundary_cluster_seed_4172
4147,0,32,boundary_cluster_seed_4172
4169,0,32,boundary_cluster_seed_4172
1984,0,58,boundary_cluster_seed_1984
1988,58,41,boundary_cluster_seed_1984
1986,41,58,boundary_cluster_seed_1984
6852,39,45,boundary_cluster_seed_1984
1856,0,73,boundary_cluster_seed_1984
1166,0,30,boundary_cluster_seed_1166
3412,30,24,boundary_cluster_seed_1166
3408,30,24,boundary_cluster_seed_1166
8931,30,24,boundary_cluster_seed_1166
2761,30,24,boundary_cluster_seed_1166
8981,61,71,boundary_cluster_seed_8981
8982,71,61,boundary_cluster_seed_8981
1391,71,61,boundary_cluster_seed_8981
3145,71,39,boundary_cluster_seed_8981
1043,61,71,boundary_cluster_seed_8981
3516,50,60,boundary_cluster_seed_3516
3496,60,41,boundary_cluster_seed_3516
3499,41,40,boundary_cluster_seed_3516
3501,42,44,boundary_cluster_seed_3516
3498,40,56,boundary_cluster_seed_3516
4631,66,63,boundary_cluster_seed_4631
4643,63,1,boundary_cluster_seed_4631
4640,1,63,boundary_cluster_seed_4631
4639,1,63,boundary_cluster_seed_4631
9723,68,62,boundary_cluster_seed_4631
4590,0,56,boundary_cluster_seed_4590
4599,56,0,boundary_cluster_seed_4590
4587,0,40,boundary_cluster_seed_4590
4602,39,40,boundary_cluster_seed_4590
4598,40,0,boundary_cluster_seed_4590
4273,0,24,boundary_cluster_seed_4273
4457,24,2,boundary_cluster_seed_4273
6434,2,13,boundary_cluster_seed_4273
6440,2,13,boundary_cluster_seed_4273
9414,18,2,boundary_cluster_seed_4273
8808,37,0,boundary_cluster_seed_8808
8804,0,37,boundary_cluster_seed_8808
8803,0,37,boundary_cluster_seed_8808
2343,0,37,boundary_cluster_seed_8808
9894,0,37,boundary_cluster_seed_8808
293,45,41,boundary_cluster_seed_293
492,41,51,boundary_cluster_seed_293
9560,42,45,boundary_cluster_seed_293
846,51,42,boundary_cluster_seed_293
3965,51,50,boundary_cluster_seed_293
4246,9,2,boundary_cluster_seed_4246
4233,2,0,boundary_cluster_seed_4246
4237,0,2,boundary_cluster_seed_4246
4238,0,2,boundary_cluster_seed_4246
4245,2,0,boundary_cluster_seed_4246
4445,36,0,boundary_cluster_seed_4445
4450,0,74,boundary_cluster_seed_4445
2626,36,0,boundary_cluster_seed_4445
4444,0,39,boundary_cluster_seed_4445
2103,39,0,boundary_cluster_seed_4445
7751,0,30,boundary_cluster_seed_7751
7747,30,31,boundary_cluster_seed_7751
5164,31,0,boundary_cluster_seed_7751
5161,0,31,boundary_cluster_seed_7751
5165,31,30,boundary_cluster_seed_7751
1675,27,0,boundary_cluster_seed_1675
1677,0,45,boundary_cluster_seed_1675
1674,0,45,boundary_cluster_seed_1675
1407,0,27,boundary_cluster_seed_1675
9423,60,43,boundary_cluster_seed_9423
9426,43,42,boundary_cluster_seed_9423
9425,42,51,boundary_cluster_seed_9423
9424,40,60,boundary_cluster_seed_9423
305,45,50,boundary_cluster_seed_9423
1128,0,2,boundary_cluster_seed_1128
1123,2,0,boundary_cluster_seed_1128
1127,24,0,boundary_cluster_seed_1128
1107,0,24,boundary_cluster_seed_1128
1126,24,0,boundary_cluster_seed_1128
1936,17,0,boundary_cluster_seed_1936
1937,0,18,boundary_cluster_seed_1936
8431,17,20,boundary_cluster_seed_1936
6709,18,17,boundary_cluster_seed_1936
8432,17,20,boundary_cluster_seed_1936
8413,0,62,boundary_cluster_seed_8413
8417,62,0,boundary_cluster_seed_8413
7205,73,75,boundary_cluster_seed_8413
5004,0,57,boundary_cluster_seed_8413
7213,75,73,boundary_cluster_seed_8413
8838,0,56,boundary_cluster_seed_8838
8836,56,16,boundary_cluster_seed_8838
8835,16,56,boundary_cluster_seed_8838
3322,0,16,boundary_cluster_seed_8838
8837,56,27,boundary_cluster_seed_8838
5354,7,2,boundary_cluster_seed_5354
5352,2,1,boundary_cluster_seed_5354
5351,2,1,boundary_cluster_seed_5354
5350,2,1,boundary_cluster_seed_5354
5349,2,1,boundary_cluster_seed_5354
3660,0,29,boundary_cluster_seed_3660
3662,29,60,boundary_cluster_seed_3660
3663,60,0,boundary_cluster_seed_3660
3659,0,56,boundary_cluster_seed_3660
323,0,57,boundary_cluster_seed_3660
6960,41,56,boundary_cluster_seed_6960
8411,56,60,boundary_cluster_seed_6960
5172,73,24,boundary_cluster_seed_6960
7417,73,60,boundary_cluster_seed_6960
8547,24,60,boundary_cluster_seed_6960
5963,0,17,boundary_cluster_seed_5963
5962,17,0,boundary_cluster_seed_5963
5965,0,17,boundary_cluster_seed_5963
5961,17,0,boundary_cluster_seed_5963
9800,25,36,boundary_cluster_seed_5963
2776,2,56,boundary_cluster_seed_2776
384,56,39,boundary_cluster_seed_2776
1547,0,1,boundary_cluster_seed_2776
8633,9,25,boundary_cluster_seed_2776
6116,2,0,boundary_cluster_seed_2776
2534,0,38,boundary_cluster_seed_2534
2543,38,58,boundary_cluster_seed_2534
3468,58,44,boundary_cluster_seed_2534
6222,30,0,boundary_cluster_seed_2534
6231,0,30,boundary_cluster_seed_2534
725,38,1,boundary_cluster_seed_725
713,1,41,boundary_cluster_seed_725
1721,0,41,boundary_cluster_seed_725
5900,38,0,boundary_cluster_seed_725
9013,0,7,boundary_cluster_seed_725
3141,0,2,boundary_cluster_seed_3141
6606,2,56,boundary_cluster_seed_3141
3119,32,2,boundary_cluster_seed_3141
1750,56,0,boundary_cluster_seed_3141
1967,0,2,boundary_cluster_seed_3141
9246,0,33,boundary_cluster_seed_9246
6481,33,29,boundary_cluster_seed_9246
2898,29,73,boundary_cluster_seed_9246
9433,2,14,boundary_cluster_seed_9246
1635,73,14,boundary_cluster_seed_9246
1280,52,48,boundary_cluster_seed_1280
1271,48,60,boundary_cluster_seed_1280
3799,60,52,boundary_cluster_seed_1280
1268,60,48,boundary_cluster_seed_1280
3798,52,48,boundary_cluster_seed_1280
6990,71,54,boundary_cluster_seed_6990
8464,54,39,boundary_cluster_seed_6990
7697,72,41,boundary_cluster_seed_6990
1084,49,1,boundary_cluster_seed_6990
7920,49,41,boundary_cluster_seed_6990
5516,2,15,boundary_cluster_seed_5516
5515,15,59,boundary_cluster_seed_5516
990,15,59,boundary_cluster_seed_5516
4333,15,56,boundary_cluster_seed_5516
6306,15,39,boundary_cluster_seed_5516
5700,60,56,boundary_cluster_seed_5700
5711,56,40,boundary_cluster_seed_5700
5702,40,56,boundary_cluster_seed_5700
5698,56,40,boundary_cluster_seed_5700
5388,52,48,boundary_cluster_seed_5700
1131,0,56,boundary_cluster_seed_1131
1129,56,60,boundary_cluster_seed_1131
1136,60,26,boundary_cluster_seed_1131
9067,1,26,boundary_cluster_seed_1131
9066,1,26,boundary_cluster_seed_1131
5776,0,41,boundary_cluster_seed_5776
120,41,60,boundary_cluster_seed_5776
6724,67,41,boundary_cluster_seed_5776
119,41,60,boundary_cluster_seed_5776
102,60,41,boundary_cluster_seed_5776
